manufacturer,model,type,year,price,mileage,location,transmission,fuel_type,grade,car_condition
Toyota,Sienna,Mpv,1999,1242000,213123,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Toyota,Corolla,Sedan,2006,1410000,237850,C45,automatic,Petrol,E,Nigerian used
Honda,Accord,Sedan,2011,2026000,106043,"C45 , Lagos",semiautomatic,Petrol Electric,C,Nigerian used
Toyota,Camry,Sedan,2012,3258000,157246,"C45 , Lagos",automatic,Petrol,C,Nigerian used
Toyota,Rav4,Suv,2004,850000,107629,"C45 , Abuja",automatic,Petrol, ,Nigerian used
Nissan,Xterra,Suv,2005,1130000,129322,"C45 , Kaduna",automatic,Petrol,D,Nigerian used
Ford,Focus,Sedan,1999,794000,174711,C45,automatic,Petrol,D,Nigerian used
Toyota,Sienna,Suv,2004,1242000,286662,"C45 , Onitsha",automatic,Petrol,D,Nigerian used
Ford,Ecosport,Suv,2014,1690000,86200,"C45 , Lagos",automatic,Petrol,C,Nigerian used
Toyota,Corolla,Sedan,2005,1690000,112361,"C45 , Lagos",automatic,Petrol,C,Nigerian used
Honda,Pilot,Suv,2006,1802000,208115,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Toyota,Camry,Sedan,2007,2474000,109987,"C45 , Abuja",automatic,Petrol Electric,C,Nigerian used
Toyota,Rav4,Suv,2012,8746000,153048,"C45 , Lagos",automatic,Petrol, ,Foreign used
Honda,Accord,Sedan,2006,973200,98881,"C45 , Port Harcourt",automatic,Petrol, ,Nigerian used
Lexus,Es 330,Sedan,2004,1690000,125195,"C45 , Lagos",automatic,Petrol, ,Nigerian used
Toyota,Corolla,Sedan,2011,3482000,183647,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Lexus,Rx 350,Suv,2013,11770000,75908,"C45 , Lagos",automatic,Petrol,C,Foreign used
Honda,Civic,Coupe,2004,698800,201555,"C45 , Lagos",manual,Petrol, ,Nigerian used
Mercedes-Benz,GLK 350,Suv,2010,5050000,170791,"C45 , Akure",automatic,Petrol,C,Foreign used
Mercedes-Benz,GLK 350,Suv,2010,3370000,0,"C45 , Lagos",automatic,Petrol, ,Nigerian used
Toyota,Corolla,Sedan,2004,1914000,105240,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Honda,Accord,Sedan,2007,2698000,200518,"C45 , Lagos",automatic,Petrol, ,Foreign used
Lexus,Es 300,Sedan,1997,794000,0,"C45 , Abuja",automatic,Petrol,D,Nigerian used
Mercedes-Benz,C240,Sedan,2002,2922000,126540,"C45 , Ibadan",automatic,Petrol,D,Foreign used
Toyota,Corolla,Sedan,2003,2474000,204024,C45,automatic,Petrol,C,Foreign used
Lexus,Es 350,Sedan,2009,4938000,124452,"C45 , Ibadan",automatic,Petrol,D,Foreign used
Hyundai,Santa Fe,Suv,2009,1466000,133692,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Infiniti,G,Sedan,2004,1410000,158882,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Toyota,Camry,Sedan,2003,1387600,108073,"C45 , Port Harcourt",automatic,Petrol, ,Nigerian used
Mitsubishi,L200,Pickup,2014,3034000,57103,C45,manual,Petrol,E,Nigerian used
Toyota,Avalon,Sedan,2006,1947600,162003,"C45 , Lagos",automatic,Petrol, ,Nigerian used
Mercedes-Benz,E350,Sedan,2006,861200,214336,"C45 , Abuja",automatic,Petrol,E,Nigerian used
