manufacturer,model,year,price,mileage,location,transmission,fuel_type,grade,car_condition,car_age
Chevrolet,REZZO,2003,1802000,133198,Lagos,automatic,Petrol,D,Foreign used,18
Hyundai,Sonata,2009,2650000,265279,Onitsha,automatic,Petrol,C,Foreign used,12
Toyota,Camry,2002,1354000,249606,Lagos,automatic,Petrol,D,Nigerian used,19
Toyota,Camry,2004,1578000,194621,Ibadan,automatic,Petrol,D,Nigerian used,17
Toyota,Venza,2011,5162000,148334,Abuja,automatic,Petrol,C,Nigerian used,10
Hyundai,Sonata,2011,2362000,52252,Lagos,automatic,Petrol,C,Nigerian used,10
Mercedes-Benz,Gl550,2008,5050000,52918,Lagos,automatic,Petrol,C,Nigerian used,13
Kia,Sorento,2011,2202170,181197,Ibadan,automatic,Petrol,C,Nigerian used,10
Kia,Sedona,2006,1690000,107965,Lagos,automatic,Petrol,C,Nigerian used,15
Ford,Focus,2003,906000,208524,Lagos,manual,Petrol,D,Nigerian used,18
Mercedes-Benz,C320,2001,794000,256781,Abuja,automatic,Petrol,D,Nigerian used,20
Mercedes-Benz,E350,2006,2026000,86233,PortHarcourt,automatic,Petrol,D,Nigerian used,15
Toyota,Corolla,2003,1690000,299999,Abuja,automatic,Petrol,D,Nigerian used,18
Lexus,ES330,2004,2250000,243959,PortHarcourt,automatic,Petrol,D,Nigerian used,17
Mazda,Cx-9,2007,3188720,131581,Ibadan,automatic,Petrol,D,Foreign used,14
Mazda,Cx-9,2008,2642000,121752,Akure,automatic,Petrol,C,Foreign used,13
Hyundai,Santamo,1999,682000,236342,Lagos,manual,Petrol,D,Nigerian used,22
Nissan,Pathfinder,2006,1320400,323537,Ibadan,automatic,Petrol,D,Nigerian used,15
Nissan,Sentra,2013,1914000,59567,Lagos,automatic,Petrol,E,Nigerian used,8
Toyota,Corolla,2010,4154000,54235,Lagos,automatic,Petrol,C,Foreign used,11
Lexus,Rx 350,2012,7066000,103350,Abuja,automatic,Petrol,C,Nigerian used,9
Ford,Edge,2007,3594000,215034,Lagos,automatic,Petrol,C,Foreign used,14
Ford,Explorer,2011,3930000,93798,Abuja,automatic,Petrol,C,Nigerian used,10
Lexus,Rx 350,2006,3706000,222062,Onitsha,automatic,Petrol,C,Nigerian used,15
Lexus,Is 250,2006,2138000,172691,PortHarcourt,automatic,Petrol,D,Nigerian used,15
Nissan,Pathfinder,2005,1690000,177661,PortHarcourt,automatic,Petrol,D,Foreign used,16
Toyota,Corolla,2008,1970000,178658,Lagos,automatic,Petrol,D,Nigerian used,13
Toyota,Matrix,2007,2754000,209167,PortHarcourt,automatic,Petrol,D,Foreign used,14
Renault,Duster,2014,1690000,82123,Lagos,automatic,Petrol,C,Nigerian used,7
Toyota,Highlander,2004,2698000,214995,Lagos,automatic,Petrol,C,Nigerian used,17
Honda,Accord,2010,2250000,64909,Lagos,automatic,Petrol,D,Nigerian used,11
Toyota,Highlander,2008,5162000,335343,Abuja,automatic,Petrol,C,Nigerian used,13
Toyota,Avensis,2007,1466000,181851,Lagos,automatic,Petrol,D,Nigerian used,14
Toyota,Corolla,2008,1466000,120024,Lagos,manual,Petrol,C,Nigerian used,13
Mercedes-Benz,GL450,2009,4154000,83432,Onitsha,automatic,Petrol,C,Nigerian used,12
Hyundai,I10,2015,2138000,96875,Lagos,automatic,Petrol,D,Nigerian used,6
Toyota,Camry,2010,3930000,141311,PortHarcourt,automatic,Petrol,D,Foreign used,11
Toyota,Sienna,2005,2810000,164461,Lagos,automatic,Petrol,C,Foreign used,16
Nissan,Almera,2003,906000,120512,Lagos,manual,Petrol,E,Nigerian used,18
Toyota,Camry,2015,5162000,86280,Abuja,automatic,Petrol,D,Nigerian used,6
Hyundai,Ix35,2011,2698000,79709,Lagos,automatic,Petrol,C,Nigerian used,10
Honda,Accord,2014,4154000,96759,Lagos,automatic,Petrol,D,Foreign used,7
Toyota,4Runner,2003,1802000,199322,Lagos,automatic,Petrol,D,Nigerian used,18
Toyota,Hilux,2008,4266000,185889,Lagos,manual,Petrol,D,Nigerian used,13
Toyota,Corolla,2003,1746000,218877,Ilorin,automatic,Petrol,C,Nigerian used,18
Nissan,Primera,2002,861200,111704,Lagos,manual,Petrol,C,Nigerian used,19
Peugeot,307,2004,1410000,212056,Abuja,manual,Petrol,C,Nigerian used,17
Toyota,Avalon,2007,2362000,86147,Lagos,automatic,Petrol,C,Foreign used,14
Ford,Explorer,2011,5946000,132930,Ibadan,automatic,Petrol,C,Foreign used,10
Nissan,Pathfinder,2002,794000,167410,Lagos,automatic,Petrol,C,Nigerian used,19
Nissan,Xterra,2004,738000,184194,Lagos,automatic,Petrol,E,Nigerian used,17
Toyota,Fj Cruiser,2007,5050000,89455,Onitsha,automatic,Petrol,D,Nigerian used,14
Toyota,Camry,2007,2474000,156479,Abuja,automatic,Petrol,C,Nigerian used,14
Toyota,Highlander,2002,1802000,131960,Abuja,automatic,Petrol,C,Nigerian used,19
Lexus,Rx 330,2004,3594000,292570,Onitsha,automatic,Petrol,C,Nigerian used,17
Toyota,Sienna,2004,1690000,78472,PortHarcourt,automatic,Hybrid,E,Nigerian used,17
Honda,Accord,2003,906000,169945,Kaduna,automatic,Petrol,D,Nigerian used,18
Mercedes-Benz,C300,2008,3370000,194912,Ibadan,automatic,Petrol,C,Nigerian used,13
Honda,Accord,2010,2474000,46136,Abuja,automatic,Petrol,C,Nigerian used,11
Mazda,626,1996,402000,293913,Lagos,automatic,Petrol,E,Nigerian used,25
Toyota,Camry,2007,1802000,75888,Lagos,automatic,Petrol,E,Nigerian used,14
Mercedes-Benz,E350,2011,6170000,110436,PortHarcourt,triptonic,Petrol,C,Foreign used,10
Landrover,Lr3,2005,1919500,97332,Asaba,automatic,Petrol,C,Nigerian used,16
Chevrolet,Optra,2009,715600,134080,Kaduna,automatic,Petrol,D,Nigerian used,12
Toyota,Avensis,2006,1802000,168447,Ibadan,manual,Petrol,C,Foreign used,15
Lexus,Rx 350,2007,4042000,146929,Ibadan,automatic,Petrol,D,Nigerian used,14
Honda,Accord,1998,682000,150803,Ilorin,automatic,Petrol,D,Nigerian used,23
Toyota,Sienna,2009,1914000,84785,PortHarcourt,automatic,Petrol,D,Nigerian used,12
Toyota,Sienna,2011,4266000,124042,Lagos,automatic,Petrol,D,Nigerian used,10
Mercedes-Benz,C200,2008,1466000,72811,Lagos,automatic,Petrol,D,Nigerian used,13
Honda,City,2006,1130000,155890,PortHarcourt,automatic,Petrol,D,Nigerian used,15
Mercedes-Benz,C350,2008,3146000,121195,PortHarcourt,automatic,Petrol,D,Nigerian used,13
Toyota,Camry,1997,682000,254441,PortHarcourt,automatic,Petrol,E,Nigerian used,24
Toyota,Camry,2004,1354000,141859,Lagos,automatic,Petrol,D,Nigerian used,17
Toyota,Corolla,2017,6506000,14372,Lagos,automatic,Petrol,D,Foreign used,4
Mercedes-Benz,C250,2014,6730000,57309,Ibadan,automatic,Petrol,D,Foreign used,7
Honda,Civic,2001,682000,300902,Kaduna,automatic,Petrol,E,Nigerian used,20
Toyota,Corolla,2005,1578000,167911,Lagos,automatic,Petrol,C,Nigerian used,16
Toyota,Camry,2008,1018000,206798,Lagos,automatic,Petrol,C,Nigerian used,13
Toyota,Camry,2004,1690000,178991,Lagos,automatic,Petrol,E,Nigerian used,17
Peugeot,206,2004,1410000,85141,Kaduna,manual,Petrol,D,Nigerian used,17
BMW,X5,2003,1186000,312824,Lagos,automatic,Petrol,D,Nigerian used,18
Toyota,Camry,2007,2138000,136684,PortHarcourt,automatic,Petrol,E,Nigerian used,14
Lexus,Rx 330,2004,2586000,143021,Lagos,automatic,Petrol,D,Nigerian used,17
Honda,Jazz,2005,1354000,219653,Abuja,manual,Petrol,C,Nigerian used,16
Mercedes-Benz,E500,2004,1242000,55310,Kaduna,automatic,Petrol,C,Nigerian used,17
Toyota,Camry,2004,1410000,233081,Lagos,automatic,Petrol,D,Nigerian used,17
Kia,Sportage,2012,4154000,96089,Lagos,automatic,Petrol,C,Nigerian used,9
Toyota,Venza,2010,5050000,139308,Lagos,automatic,Petrol,C,Nigerian used,11
Ford,Focus,1999,1522000,12678,Abuja,manual,Petrol,D,Foreign used,22
Volkswagen,Passat,2006,1018000,90171,PortHarcourt,automatic,Petrol,D,Nigerian used,15
Lexus,GS 350,2007,2474000,143692,PortHarcourt,automatic,Petrol,D,Nigerian used,14
Landrover,RANGE ROVER,2007,2922000,94428,Lagos,automatic,Petrol,D,Nigerian used,14
Chevrolet,Trax,2015,5610000,44879,Lagos,automatic,Petrol,C,Foreign used,6
Kia,Soul,2011,2922000,172520,Lagos,automatic,Petrol,C,Foreign used,10
Hyundai,Elantra,2011,3302800,77338,Ibadan,automatic,Petrol,D,Foreign used,10
Mazda,Cx-7,2011,4378000,146586,Ibadan,automatic,Petrol,C,Foreign used,10
Mercedes-Benz,Ml350,2006,3000000,155453,Onitsha,automatic,Petrol,C,Nigerian used,15
Peugeot,307,2007,738000,99152,Kaduna,manual,Petrol,D,Nigerian used,14
Landrover,Range Rover Vogue,2007,4490000,151210,Lagos,automatic,Petrol,C,Foreign used,14
Ford,Edge,2008,2586000,151561,Ibadan,automatic,Petrol,D,Nigerian used,13
Honda,City,2007,1018000,125809,Lagos,manual,Petrol,E,Nigerian used,14
Honda,Accord,2004,850000,99999,Kaduna,automatic,Petrol,D,Nigerian used,17
Dodge,Journey,2015,5050000,70139,Lagos,automatic,Petrol,C,Nigerian used,6
Lexus,Es 350,2007,4098000,73643,Ibadan,automatic,Petrol,D,Foreign used,14
Toyota,Sienna,2002,1354000,232320,Lagos,automatic,Petrol,D,Nigerian used,19
Toyota,Tundra,2007,7850000,148835,Abuja,automatic,Petrol,D,Nigerian used,14
Kia,Carens,2002,491600,298445,Ilorin,manual,Petrol,D,Nigerian used,19
Mercedes-Benz,C300,2011,4938000,109027,Abuja,automatic,Petrol,C,Foreign used,10
Lexus,ES300,2003,1690000,164075,PortHarcourt,automatic,Petrol,D,Foreign used,18
Toyota,Venza,2009,4602000,120935,Abuja,automatic,Petrol,D,Nigerian used,12
Toyota,Highlander,2002,1970000,202467,Lagos,automatic,Petrol,D,Nigerian used,19
Toyota,Corolla,2004,1914000,244977,Kaduna,automatic,Petrol,E,Nigerian used,17
Toyota,Venza,2009,4714000,192394,Lagos,automatic,Petrol,D,Nigerian used,12
Toyota,Camry,2012,2922000,130368,Lagos,automatic,Petrol,D,Nigerian used,9
Toyota,Highlander,2005,1914000,115094,Lagos,automatic,Petrol,C,Nigerian used,16
Toyota,Corolla,2003,1354000,142356,PortHarcourt,automatic,Petrol,E,Nigerian used,18
Mercedes-Benz,E350,2011,3818000,61181,Lagos,automatic,Petrol,D,Nigerian used,10
Toyota,Camry,2011,3370000,106207,Lagos,automatic,Petrol,D,Foreign used,10
Toyota,Aurion,2009,2597500,214479,Lagos,automatic,Petrol,D,Foreign used,12
Honda,Civic,2013,5386000,3712,Lagos,automatic,Petrol,D,Foreign used,8
Toyota,4Runner,1998,906000,99876,Abuja,automatic,Petrol,D,Nigerian used,23
Honda,Cr-V,1998,682000,181673,Lagos,manual,Petrol,D,Nigerian used,23
Nissan,Altima,2009,1466000,85022,Abuja,automatic,Petrol,C,Foreign used,12
Honda,Cr-V,2012,3594000,194019,Lagos,automatic,Petrol,C,Nigerian used,9
Mercedes-Benz,E350,2006,2026000,145279,Ibadan,automatic,Petrol,E,Foreign used,15
Toyota,Camry,2011,3500000,104209,Lagos,automatic,Petrol,C,Foreign used,10
Toyota,Corolla,2014,4378000,145666,Lagos,automatic,Petrol,D,Nigerian used,7
Toyota,Venza,2009,3930000,129516,Abuja,automatic,Petrol,C,Nigerian used,12
Toyota,Sienna,2006,3370000,156789,Abuja,automatic,Petrol,C,Foreign used,15
Toyota,Camry,2012,4826000,112398,Ibadan,automatic,Petrol,C,Foreign used,9
Nissan,Qashqai,2015,5610000,59956,Lagos,automatic,Petrol,C,Nigerian used,6
Mazda,Tribute,2003,682000,207468,Lagos,automatic,Petrol,D,Nigerian used,18
Lexus,Es 350,2007,3370000,150620,Onitsha,automatic,Petrol,D,Nigerian used,14
Lexus,LS460,2008,2810000,103864,PortHarcourt,automatic,Petrol,D,Nigerian used,13
Mercedes-Benz,Ml350,2006,3160000,174811,Lagos,automatic,Petrol,D,Nigerian used,15
Toyota,Sienna,2004,1354000,207524,PortHarcourt,automatic,Petrol,D,Nigerian used,17
Honda,Pilot,2003,1130000,73719,Asaba,automatic,Petrol,D,Nigerian used,18
Ford,Ranger,1997,682000,157540,Lagos,automatic,Petrol,D,Nigerian used,24
BMW,3 Series,2003,794000,169872,Kaduna,automatic,Petrol,D,Nigerian used,18
Lexus,Es 350,2010,4490000,84183,Ibadan,automatic,Petrol,C,Nigerian used,11
Lexus,GX470,2005,3482000,88242,Abuja,automatic,Petrol,C,Nigerian used,16
Ford,Ecosport,2014,3146000,86200,Lagos,automatic,Petrol,C,Nigerian used,7
Volkswagen,LT 35,2003,2474000,173366,Lagos,manual,Diesel,D,Nigerian used,18
Mercedes-Benz,Ml350,2006,3594000,100485,Onitsha,automatic,Petrol,D,Nigerian used,15
Toyota,Corolla,2011,4042000,104388,Abuja,automatic,Petrol,B,Foreign used,10
Acura,Mdx,2014,7290000,99727,Lagos,automatic,Petrol,D,Foreign used,7
Honda,Accord,2006,1242000,222137,Ilorin,automatic,Petrol,C,Nigerian used,15
Toyota,Camry,2007,2866000,166287,Ibadan,automatic,Petrol,D,Foreign used,14
Volkswagen,Tiguan,2011,2026000,89435,Lagos,automatic,Petrol,C,Nigerian used,10
Mercedes-Benz,GL450,2007,5050000,191442,Akure,automatic,Petrol,C,Nigerian used,14
Toyota,4Runner,2007,3258000,139447,Abuja,automatic,Petrol,C,Nigerian used,14
Toyota,Rav4,2007,2474000,218940,Lagos,automatic,Petrol,E,Nigerian used,14
Mercedes-Benz,C280,2007,2250000,327889,PortHarcourt,automatic,Petrol,D,Nigerian used,14
Toyota,Camry,2012,3314000,104558,Ibadan,automatic,Hybrid,C,Nigerian used,9
Toyota,Corolla,2005,2810000,96826,Lagos,automatic,Petrol,E,Foreign used,16
Toyota,Camry,2002,1354000,230256,Lagos,automatic,Petrol,E,Nigerian used,19
Toyota,Venza,2012,7850000,75218,Lagos,automatic,Petrol,C,Foreign used,9
Toyota,Camry,2008,2026000,189986,Ibadan,automatic,Petrol,D,Nigerian used,13
Honda,Ridgeline,2008,3034000,168909,Abuja,automatic,Petrol,D,Nigerian used,13
Volkswagen,Touareg,2006,4266000,302858,Lagos,automatic,Diesel,D,Foreign used,15
Lexus,Es 350,2007,3146000,221612,PortHarcourt,automatic,Petrol,D,Nigerian used,14
Toyota,Camry,2007,2810000,107029,Kaduna,automatic,Petrol,C,Nigerian used,14
Toyota,Camry,2009,3090000,319298,Ibadan,automatic,Petrol,C,Foreign used,12
Mercedes-Benz,GL450,2007,4266000,144784,Abuja,automatic,Petrol,C,Nigerian used,14
Lexus,Rx 330,2004,2586000,163266,Lagos,automatic,Petrol,D,Nigerian used,17
Honda,Civic,2006,906000,169455,Lagos,automatic,Petrol,E,Nigerian used,15
Toyota,Highlander,2007,2810000,194634,Lagos,automatic,Petrol,D,Nigerian used,14
Kia,Rio,2007,514000,92760,Lagos,manual,Petrol,E,Nigerian used,14
Nissan,Qashqai,2016,4490000,26430,Abuja,automatic,Petrol,C,Nigerian used,5
Hyundai,Tucson,2013,2978000,106008,Lagos,automatic,Petrol,C,Nigerian used,8
Mercedes-Benz,GL450,2009,6730000,7157,Lagos,automatic,Petrol,C,Foreign used,12
Toyota,Land Cruiser,2006,6170000,98358,Lagos,automatic,Petrol,E,Nigerian used,15
Audi,Q5,2012,6730000,187884,Abuja,automatic,Petrol,C,Nigerian used,9
Nissan,Pathfinder,2006,1130000,96772,PortHarcourt,automatic,Petrol,D,Nigerian used,15
Ford,Edge,2008,2810000,177484,Asaba,automatic,Petrol,C,Nigerian used,13
Infiniti,FX35,2008,5610000,183999,Lagos,automatic,Petrol,C,Foreign used,13
Toyota,Camry,2006,2362000,96337,Lagos,automatic,Petrol,D,Foreign used,15
Hyundai,Creta,2017,7178000,40382,Lagos,automatic,Petrol,D,Nigerian used,4
Mercedes-Benz,E350,2010,6506000,122560,Lagos,triptonic,Petrol,C,Foreign used,11
Ford,Edge,2010,2250000,131981,Lagos,automatic,Petrol,D,Nigerian used,11
Kia,Cerato,2013,2138000,53255,Lagos,automatic,Petrol,D,Nigerian used,8
Mercedes-Benz,C230,2006,3370000,152004,Lagos,automatic,Petrol,C,Foreign used,15
Toyota,Avalon,2007,2810000,12745,Abuja,automatic,Petrol,C,Foreign used,14
Hyundai,Elantra,2014,2810000,82103,Lagos,automatic,Petrol,D,Nigerian used,7
Hyundai,H1,2009,3370000,78901,Abuja,manual,Petrol,D,Nigerian used,12
Honda,Accord,2007,1354000,116388,Lagos,automatic,Petrol,E,Nigerian used,14
Mercedes-Benz,GLK350,2010,5162000,49817,Kaduna,automatic,Petrol,C,Nigerian used,11
Toyota,Avalon,2007,3370000,249797,Lagos,automatic,Petrol,C,Foreign used,14
Toyota,Camry,2007,2026000,26839,Lagos,automatic,Hybrid,D,Nigerian used,14
Honda,Accord Crosstour,2010,2250000,95253,Ilorin,automatic,Petrol,E,Nigerian used,11
Mercedes-Benz,C300,2009,4490000,144059,Lagos,automatic,Petrol,C,Foreign used,12
Hyundai,Ix35,2011,2810000,126951,Lagos,automatic,Petrol,D,Nigerian used,10
Mazda,Premacy,1999,906000,211297,Kaduna,manual,Petrol,D,Nigerian used,22
BMW,3 Series,2008,3594000,195435,Kaduna,automatic,Petrol,C,Foreign used,13
Honda,Accord,2004,962000,127110,Ilorin,automatic,Petrol,D,Nigerian used,17
Mercedes-Benz,E500,2005,2250000,278594,Ilorin,automatic,Petrol,C,Foreign used,16
Ford,Escape,2006,910000,201323,Lagos,manual,Petrol,C,Nigerian used,15
Honda,Civic,2008,3146000,46746,Lagos,automatic,Hybrid,C,Foreign used,13
Toyota,Sienna,2006,3034000,265109,Lagos,automatic,Petrol,C,Foreign used,15
Ford,Explorer,2007,3090000,173938,Lagos,automatic,Petrol,D,Nigerian used,14
Honda,Pilot,2010,2810000,189422,Akure,automatic,Petrol,C,Nigerian used,11
Mercedes-Benz,S550,2008,5834000,34590,Lagos,automatic,Petrol,C,Nigerian used,13
Toyota,Sienna,2006,1350000,26749,Onitsha,automatic,Petrol,D,Nigerian used,15
Acura,Mdx,2008,1914000,77468,Lagos,automatic,Petrol,D,Nigerian used,13
Toyota,Camry,2012,5635000,84693,Lagos,automatic,Petrol,E,Foreign used,9
Hyundai,Ix35,2011,1810000,142896,Lagos,automatic,Petrol,E,Nigerian used,10
Honda,Cr-V,2008,2250000,153786,Lagos,automatic,Petrol,D,Nigerian used,13
Honda,Ridgeline,2010,3370000,89453,PortHarcourt,automatic,Petrol,E,Nigerian used,11
Toyota,Sienna,2011,5386000,102537,Lagos,automatic,Petrol,C,Foreign used,10
Toyota,Camry,2006,3370000,165948,Lagos,automatic,Petrol,D,Foreign used,15
Honda,Pilot,2006,2250000,135589,Lagos,automatic,Petrol,D,Nigerian used,15
Honda,Cr-V,2008,2250000,168674,Lagos,automatic,Petrol,D,Nigerian used,13
Toyota,Camry,2003,2250000,217537,PortHarcourt,automatic,Petrol,D,Foreign used,18
Lexus,Es 350,2008,4042000,124660,Lagos,automatic,Hybrid,C,Nigerian used,13
Toyota,Camry,1997,1074000,308380,Abuja,automatic,Petrol,D,Nigerian used,24
Toyota,Sienna,2004,2866000,298063,Lagos,automatic,Petrol,D,Foreign used,17
Mercedes-Benz,E350,2011,6730000,112170,Ibadan,automatic,Petrol,D,Foreign used,10
Ford,Edge,2011,2474000,137372,Lagos,automatic,Petrol,D,Nigerian used,10
Ford,Expedition,2005,1130000,215697,Abuja,automatic,Petrol,E,Nigerian used,16
Lexus,Rx 330,2005,3034000,93469,Lagos,automatic,Petrol,D,Nigerian used,16
Toyota,Rav4,2008,2474000,136064,Lagos,automatic,Petrol,E,Nigerian used,13
Dodge,Caliber,2007,1354000,221876,Abuja,automatic,Petrol,C,Nigerian used,14
Toyota,Camry,2007,1914000,116903,Ilorin,automatic,Hybrid,C,Nigerian used,14
Hyundai,Accent,2013,1914000,160525,Kaduna,automatic,Petrol,C,Nigerian used,8
Mercedes-Benz,C300,2012,5050000,156590,Onitsha,automatic,Petrol,C,Foreign used,9
Lexus,Gs 300,1998,682000,196668,Ilorin,automatic,Petrol,D,Nigerian used,23
Kia,Rio,2018,3482000,50654,Lagos,automatic,Petrol,D,Nigerian used,3
Nissan,Titan,2005,3930000,87291,Abuja,automatic,Petrol,C,Nigerian used,16
Mercedes-Benz,GL450,2007,3930000,147465,Onitsha,automatic,Hybrid,C,Nigerian used,14
Toyota,Sienna,2005,1354000,207349,Abuja,automatic,Petrol,D,Nigerian used,16
Acura,Mdx,2003,1130000,170721,Lagos,automatic,Petrol,D,Nigerian used,18
Lexus,Rx 330,2004,2810000,238722,Lagos,automatic,Petrol,D,Nigerian used,17
Toyota,Rav4,2009,2250000,102313,PortHarcourt,automatic,Petrol,D,Nigerian used,12
Infiniti,Qx56,2006,1550000,73261,PortHarcourt,automatic,Petrol,C,Foreign used,15
Toyota,Highlander,2009,5890000,123744,Lagos,automatic,Petrol,D,Foreign used,12
Toyota,Highlander,2004,2250000,56289,Lagos,automatic,Petrol,D,Nigerian used,17
Ford,Escape,2009,2698000,131240,Lagos,automatic,Petrol,D,Foreign used,12
Mercedes-Benz,C240,2001,906000,196553,Lagos,automatic,Petrol,E,Nigerian used,20
Mitsubishi,Pajero,2012,3370000,113622,Lagos,automatic,Petrol,C,Nigerian used,9
Toyota,Corolla,2008,1578000,199136,PortHarcourt,automatic,Petrol,E,Nigerian used,13
Toyota,Camry,2009,2250000,193570,Onitsha,automatic,Petrol,E,Nigerian used,12
Honda,Civic,2006,1914000,137488,Abuja,automatic,Petrol,C,Nigerian used,15
Lincoln,Mkx,2011,5610000,95267,Lagos,automatic,Petrol,D,Nigerian used,10
Saturn,VUE,2008,2026000,289574,Lagos,automatic,Petrol,D,Nigerian used,13
Kia,Cerato,2015,3594000,51677,Lagos,automatic,Petrol,C,Nigerian used,6
Lexus,Rx 350,2010,6506000,169386,Lagos,automatic,Petrol,D,Nigerian used,11
Lexus,Is 250,2006,3594000,253840,Abuja,automatic,Petrol,C,Foreign used,15
Ford,Edge,2010,2978000,94287,Lagos,automatic,Petrol,D,Nigerian used,11
Toyota,Camry,2002,2026000,74090,Lagos,automatic,Petrol,D,Foreign used,19
Toyota,Corolla,2009,3034000,85485,Kaduna,automatic,Petrol,D,Foreign used,12
Mercedes-Benz,Ml350,2006,3300000,79953,PortHarcourt,automatic,Petrol,D,Nigerian used,15
Ford,Explorer,2007,3930000,208415,Lagos,automatic,Petrol,D,Nigerian used,14
Mercedes-Benz,C180,2006,2362000,151854,Lagos,automatic,Petrol,D,Foreign used,15
Ford,Edge,2008,2026000,231105,Abuja,automatic,Petrol,C,Nigerian used,13
Toyota,Matrix,2008,1970000,122116,Lagos,automatic,Petrol,E,Nigerian used,13
Honda,Accord,2006,1578000,111511,Kaduna,automatic,Petrol,D,Nigerian used,15
Volvo,Xc90,2004,1690000,188708,Lagos,automatic,Petrol,D,Nigerian used,17
Honda,Pilot,2003,1779600,214550,Abuja,automatic,Petrol,D,Nigerian used,18
Honda,Pilot,2006,1499600,139577,Lagos,automatic,Petrol,D,Nigerian used,15
Toyota,Highlander,2002,1802000,186160,Lagos,automatic,Petrol,D,Nigerian used,19
BMW,5 Series,2003,1130000,221465,Onitsha,automatic,Petrol,D,Nigerian used,18
Opel,Tigra,2006,794000,98542,Ilorin,manual,Petrol,C,Foreign used,15
Mercedes-Benz,E350,2011,5610000,91416,PortHarcourt,automatic,Petrol,D,Nigerian used,10
Toyota,Venza,2009,6170000,79063,Abuja,automatic,Petrol,C,Nigerian used,12
Toyota,Avalon,2011,2474000,95038,Abuja,automatic,Petrol,C,Nigerian used,10
Peugeot,407,2002,906000,91191,Lagos,automatic,Petrol,C,Nigerian used,19
Infiniti,FX35,2008,1712400,59563,Lagos,automatic,Petrol,D,Nigerian used,13
Toyota,4Runner,2005,2698000,256207,Lagos,automatic,Petrol,C,Nigerian used,16
Toyota,Sienna,2007,2698000,203355,Lagos,automatic,Petrol,D,Nigerian used,14
Toyota,Camry,2007,2810000,84170,Abuja,automatic,Petrol,C,Nigerian used,14
Lexus,ES330,2005,2922000,135941,Lagos,automatic,Petrol,C,Foreign used,16
Toyota,Sienna,2001,2586000,101113,Lagos,automatic,Petrol,D,Foreign used,20
Chrysler,Voyager,2000,906000,154506,PortHarcourt,automatic,Petrol,D,Nigerian used,21
Mercedes-Benz,GL450,2007,3482000,35233,Lagos,automatic,Petrol,D,Nigerian used,14
Toyota,Rav4,2013,6170000,100932,Ibadan,automatic,Petrol,E,Nigerian used,8
Nissan,Quest,2007,1354000,223994,Lagos,automatic,Petrol,C,Nigerian used,14
Lexus,Rx 330,2004,3146000,116526,Abuja,automatic,Petrol,D,Nigerian used,17
Toyota,Camry,2012,5050000,40132,Abuja,automatic,Petrol,C,Foreign used,9
Ford,Edge,2013,2935000,141778,Lagos,automatic,Petrol,D,Nigerian used,8
Mercedes-Benz,C230,2006,962000,281858,Kaduna,automatic,Petrol,E,Nigerian used,15
BMW,X3,2007,2698000,175103,Lagos,automatic,Petrol,C,Foreign used,14
Toyota,Corolla,2010,2810000,89059,Abuja,automatic,Petrol,C,Nigerian used,11
Mitsubishi,L300,2001,1018000,115177,Lagos,manual,Petrol,E,Nigerian used,20
Hyundai,Elantra,2010,2810000,96474,Lagos,automatic,Petrol,C,Foreign used,11
Mazda,3,2006,1802000,262220,Lagos,automatic,Petrol,D,Foreign used,15
Lexus,GS 350,2007,4042000,160476,Abuja,automatic,Petrol,C,Foreign used,14
BMW,3 Series,2000,850000,216650,Kaduna,automatic,Petrol,D,Nigerian used,21
Volkswagen,Jetta,2005,794000,89007,PortHarcourt,automatic,Petrol,C,Nigerian used,16
Nissan,Quest,2010,2250000,260230,PortHarcourt,automatic,Petrol,C,Nigerian used,11
Ford,Explorer,2007,1802000,134093,Lagos,automatic,Petrol,C,Nigerian used,14
Audi,Q7,2007,2026000,113571,Lagos,automatic,Petrol,D,Foreign used,14
Lexus,Rx 300,2000,1447500,229919,PortHarcourt,automatic,Petrol,D,Nigerian used,21
Honda,Jazz,2005,883600,279051,Ilorin,manual,Petrol,C,Nigerian used,16
Volkswagen,Passat,2010,1690000,129496,Onitsha,automatic,Petrol,E,Nigerian used,11
Mercedes-Benz,GLK350,2010,4714000,187294,Lagos,automatic,Petrol,C,Nigerian used,11
Nissan,Altima,2009,2026000,181641,Lagos,automatic,Petrol,D,Foreign used,12
Lexus,Es 350,2014,7626000,49641,Lagos,automatic,Petrol,D,Nigerian used,7
Honda,Accord,2012,2026000,108253,Kaduna,automatic,Petrol,C,Nigerian used,9
Mazda,3,2011,3370000,142000,Kaduna,automatic,Petrol,C,Foreign used,10
Nissan,Maxima,2004,794000,173383,Ilorin,automatic,Petrol,E,Nigerian used,17
Toyota,Camry,2007,3706000,253305,Lagos,automatic,Petrol,D,Foreign used,14
Suzuki,Vitara,2006,1130000,102957,Lagos,automatic,Petrol,D,Nigerian used,15
Kia,Cerato,2014,2586000,44230,Lagos,automatic,Petrol,C,Nigerian used,7
Mercedes-Benz,C250,2011,3818000,58796,Lagos,automatic,Petrol,C,Nigerian used,10
Toyota,Camry,2011,2372500,122151,Lagos,automatic,Petrol,C,Nigerian used,10
Ford,Edge,2007,1690000,176945,Lagos,automatic,Petrol,D,Nigerian used,14
Toyota,Corolla,2003,1466000,203361,Lagos,automatic,Petrol,D,Nigerian used,18
Toyota,Camry,2013,5722000,44605,Lagos,automatic,Petrol,D,Nigerian used,8
