manufacturer,model,year,price,mileage,location,transmission,fuel_type,grade,car_condition,car_age
Honda,Cr-V,2008,1466000,125946,Lagos,automatic,Petrol,D,Nigerian used,13
Toyota,Corolla,2014,3258000,113357,Lagos,automatic,Petrol,C,Nigerian used,7
Lexus,Es 350,2010,4490000,111353,Onitsha,semiautomatic,Diesel,D,Nigerian used,11
Honda,Pilot,2009,4322000,280547,Lagos,automatic,Petrol,C,Foreign used,12
Toyota,Matrix,2005,1466000,125089,Ibadan,automatic,Petrol,D,Nigerian used,16
Lexus,ES300,2003,2250000,79002,Ibadan,automatic,Petrol,C,Foreign used,18
Toyota,Highlander,2005,1690000,152329,Ibadan,automatic,Petrol,D,Nigerian used,16
Kia,Rio,2009,794000,109728,Lagos,manual,Petrol,D,Nigerian used,12
Toyota,Sienna,2006,2250000,213285,Abuja,automatic,Petrol,C,Nigerian used,15
Infiniti,FX35,2004,1130000,163710,Lagos,automatic,Petrol,E,Nigerian used,17
Toyota,Sienna,2000,1354000,80582,PortHarcourt,automatic,Petrol,D,Nigerian used,21
Toyota,Camry,2008,2810000,93133,Lagos,automatic,Petrol,D,Nigerian used,13
Toyota,Matrix,2003,1690000,183690,Lagos,automatic,Petrol,D,Nigerian used,18
Acura,Rdx,2007,2474000,116124,Lagos,automatic,Petrol,C,Nigerian used,14
Nissan,Pathfinder,2006,2362000,193128,Lagos,automatic,Petrol,D,Nigerian used,15
Hyundai,Sonata,2015,5498000,102206,PortHarcourt,automatic,Electric,C,Nigerian used,6
Acura,Mdx,2003,794000,157313,Abuja,automatic,Petrol,E,Nigerian used,18
Lexus,Rx 300,2001,1578000,137763,Onitsha,automatic,Petrol,D,Nigerian used,20
Mercedes-Benz,C300,2010,3997200,210520,Lagos,automatic,Petrol,C,Foreign used,11
Volkswagen,Golf,1998,794000,291384,Abuja,manual,Petrol,E,Nigerian used,23
Toyota,Sienna,2006,3370000,113847,Lagos,automatic,Petrol,D,Nigerian used,15
Mercedes-Benz,C300,2008,3034000,136537,Abuja,automatic,Petrol,C,Nigerian used,13
Toyota,Camry,2004,1242000,254351,Lagos,automatic,Petrol,D,Nigerian used,17
Honda,Accord,2005,1242000,183660,Abuja,automatic,Petrol,C,Nigerian used,16
Toyota,Rav4,2007,2474000,102947,Lagos,automatic,Petrol,C,Nigerian used,14
Toyota,Sienna,2004,1410000,261472,Lagos,automatic,Petrol,D,Nigerian used,17
Toyota,Matrix,2006,2138000,142970,Lagos,automatic,Petrol,D,Nigerian used,15
Lexus,Rx,2005,2250000,103104,Akure,automatic,Petrol,C,Nigerian used,16
Toyota,Rav4,2007,3146000,120050,Abuja,automatic,Petrol,D,Nigerian used,14
Honda,Ridgeline,2007,2698000,172905,Lagos,automatic,Petrol,E,Nigerian used,14
Honda,Accord,2013,4714000,59536,Ilorin,automatic,Petrol,C,Nigerian used,8
Toyota,Corolla,2009,2474000,71809,Lagos,automatic,Petrol,C,Nigerian used,12
Toyota,Sienna,2006,3202000,191352,Lagos,triptonic,Petrol,D,Foreign used,15
Toyota,Camry,2007,2362000,267818,Abuja,automatic,Petrol,C,Nigerian used,14
Mitsubishi,Endeavor,2006,1650000,181277,Lagos,automatic,Petrol,C,Foreign used,15
Toyota,Camry,2008,2250000,103298,Abuja,automatic,Petrol,D,Nigerian used,13
Lexus,Gs,2010,3370000,170012,Lagos,automatic,Petrol,E,Nigerian used,11
Lexus,Is 250,2010,2922000,184611,Ibadan,automatic,Petrol,C,Nigerian used,11
Ford,Edge,2013,3930000,103698,Lagos,automatic,Petrol,D,Nigerian used,8
Toyota,Camry,2012,5946000,151111,Abuja,automatic,Petrol,C,Foreign used,9
Peugeot,407,2002,794000,208059,Lagos,manual,Petrol,D,Nigerian used,19
Kia,Sorento,2006,1802000,192479,Lagos,automatic,Petrol,C,Nigerian used,15
Kia,Optima,2013,2586000,137624,Abuja,automatic,Petrol,C,Nigerian used,8
Toyota,Corolla,2013,2250000,118005,PortHarcourt,automatic,Petrol,C,Nigerian used,8
Toyota,Camry,1999,1018000,312041,Ibadan,automatic,Petrol,E,Nigerian used,22
Toyota,Rav4,2008,2586000,179017,Abuja,automatic,Petrol,C,Nigerian used,13
Mercedes-Benz,E350,2014,7850000,29333,Ilorin,automatic,Petrol,C,Nigerian used,7
Honda,Cr-V,2014,4882000,59889,Lagos,automatic,Petrol,D,Nigerian used,7
BMW,X3,2006,1480000,128248,Lagos,automatic,Petrol,E,Nigerian used,15
Peugeot,206,2004,1074000,272592,Kaduna,automatic,Petrol,C,Nigerian used,17
Toyota,Matrix,2006,1914000,121331,Lagos,automatic,Petrol,D,Nigerian used,15
Ford,Escape,2008,1242000,111740,Lagos,automatic,Petrol,E,Nigerian used,13
Toyota,Corolla,2008,1242000,134300,Lagos,manual,Petrol,D,Nigerian used,13
Mercedes-Benz,E320,2003,1802000,40062,Ilorin,automatic,Petrol,D,Nigerian used,18
Volkswagen,Passat,2009,1802000,150826,Lagos,automatic,Petrol,D,Nigerian used,12
Toyota,Matrix,2008,3034000,11977,Lagos,automatic,Petrol,D,Foreign used,13
Mercedes-Benz,Ml350,2010,4490000,39978,Lagos,automatic,Petrol,C,Nigerian used,11
Toyota,Corolla,2009,3034000,33952,Abuja,automatic,Petrol,D,Nigerian used,12
