manufacturer,model,type,year,price,mileage,location,transmission,fuel_type,grade,car_condition
Lexus,ES330,Sedan,2004.0,1690000,125195.0,Lagos,automatic,Petrol, ,Nigerian used
Toyota,Corolla,Sedan,2011.0,3482000,183647.0,Lagos,automatic,Petrol,D,Nigerian used
Lexus,Rx 350,Suv,2013.0,11770000,75908.0,Lagos,automatic,Petrol,C,Foreign used
Honda,Civic,Coupe,2004.0,698800,201555.0,Lagos,manual,Petrol, ,Nigerian used
Mercedes-Benz,GLK350,Suv,2010.0,5050000,170791.0,Akure,automatic,Petrol,C,Foreign used
Toyota,Corolla,Sedan,2004.0,1914000,105240.0,Lagos,automatic,Petrol,D,Nigerian used
Honda,Accord,Sedan,2007.0,2698000,200518.0,Lagos,automatic,Petrol, ,Foreign used
Mercedes-Benz,C240,Sedan,2002.0,2922000,126540.0,Ibadan,automatic,Petrol,D,Foreign used
Lexus,Es 350,Sedan,2009.0,4938000,124452.0,Ibadan,automatic,Petrol,D,Foreign used
Hyundai,Santa Fe,Suv,2009.0,1466000,133692.0,Lagos,automatic,Petrol,D,Nigerian used
Infiniti,G,Sedan,2004.0,1410000,158882.0,Lagos,automatic,Petrol,D,Nigerian used
Toyota,Camry,Sedan,2003.0,1387600,108073.0,PortHarcourt,automatic,Petrol, ,Nigerian used
Toyota,Avalon,Sedan,2006.0,1947600,162003.0,Lagos,automatic,Petrol, ,Nigerian used
Mercedes-Benz,E350,Sedan,2006.0,861200,214336.0,Abuja,automatic,Petrol,E,Nigerian used
Lexus,ES300,Sedan,2003.0,1690000,174228.0,Ibadan,automatic,Petrol,D,Nigerian used
Toyota,Matrix,Mpv,2007.0,2026000,196323.0,PortHarcourt,automatic,Petrol,D,Nigerian used
Honda,Accord,Sedan,2004.0,1298000,139526.0,Lagos,automatic,Petrol,D,Nigerian used
Honda,Cr-V,Suv,1998.0,794000,295630.0,Abuja,automatic,Petrol,D,Nigerian used
Toyota,Camry,Sedan,2012.0,3594000,117050.0,Abuja,automatic,Petrol,C,Nigerian used
Volkswagen,Touareg,Suv,2005.0,906000,111078.0,Akure,automatic,Petrol,D,Nigerian used
Nissan,Almera,Sedan,2012.0,1242000,115595.0,Ilorin,automatic,Petrol,C,Nigerian used
Mercedes-Benz,E350,Sedan,2013.0,5610000,59295.0,Lagos,automatic,Petrol, ,Nigerian used
Honda,Accord,Sedan,2008.0,1298000,106501.0,PortHarcourt,automatic,Petrol, ,Nigerian used
Lexus,Rx 330,Suv,2004.0,3258000,106602.0,Lagos,automatic,Petrol,D,Nigerian used
Acura,Tsx,Sedan,2010.0,3370000,124039.0,Ibadan,automatic,Petrol,D,Nigerian used
Toyota,Camry,Sedan,2014.0,5498000,71503.0,Lagos,automatic,Petrol, ,Foreign used
Toyota,Corolla,Sedan,2008.0,3258000,112973.0,Lagos,automatic,Petrol, ,Foreign used
